"Club";"Barra";"Titulo";"Letra"
"colon";"los de siempre";"todos los de la bomba se quiere matar";"todos los de la bomba se quieren matar yo no me olvido del dia que fuiste para atras queremos dar la vuelta este año en barrio centenario re loco con los bombos y los trapos voy a ver a colon no me importa si ganas o perdes yo a vos te sigo alentando y ponga huevos los jugadores para salir campeon no veo la hora que juegues quiero estar contigo los mismo de siempre te vanm a alentar como siempre lo hicimos a mi no me importa el lugar yo siempre te sigo y en cualquier cancha te voy a alentar a donde juegues voy hasta el final."
"colon";"los de siempre";"ya llega colon";"correte que ya llega colón que loca esta hinchada no le importa nada saltando te provoca un temblor viene en caravana toda la negrada sabalero sos dueño de mi locura por eso yo voy con vos voy dejando la vida en cada tribuna re loco te vengo a ver sabes que yo siempre estaré contigo fumando marihuana y tomando vino si hay dudas pregunten en asunción"
"colon";"los de siempre";"yo soy del negro y no pienso en las estrellas";"si sos canaya con parlantes no se alienta si sos de boca que no te paguen la fiesta si sos putengue no devuelvas las entradas dicen ser fieles y abandonan en las malas"
"ferro carril oeste";"la banda 100 caballito";"al verdolaga siempre lo sigo";"vamos oeste ponga mas huevo porque esta banda quiere ser primero. toda la gente quiere la vuelta para que el barrio vuelva a estar de fiesta. hoy te vinimos a ver de la cabeza tomando vino siempre te voy a alentar al verdolaga siempre lo sigo. de corazón yo vengo a verte te sigo hasta la muerte yo voy con vos a donde vas y cada dia yo te quiero mas."
"ferro carril oeste";"la banda 100 caballito";"de chiquito mi viejo me llevaba a ver a oeste";"de chiquito mi viejo me llevaba a ver a oeste y me decia que cueste lo que cueste que alentara siempre a los jugadores oh! oh! y pedirles que traspiren la camiseta oh! oh! porque ferro para mi es un sentimiento que no se explica se lleva adentro...."
"ferro carril oeste";"la banda 100 caballito";"digan que digan lo que digan";"digan que digan lo que digan daría toda mi vida por verte ser campeón les pido a todos técnicos jugadores que aguanten un poquito ya vamo’ a estar mejor por eso yo te vengo a ver verde sos mi pasión ganes o pierdas eso no importa estemos juntos de corazón."
"ferro carril oeste";"la banda 100 caballito";"ferro mi buen amigo";"ferro mi buen amigo  esta campaña volveremo' a estar contigo te alentaremos de corazón esta es tu hinchada que te quiere ver campeón. no me importa lo que digan  los de vélez los demás yo te sigo a todas partes... cada vez te quiero más."
"ferro carril oeste";"la banda 100 caballito";"la alegria de este barrio";"de pendejo voy con vos  porque vos sos mi pasión nosotros te alentamos del tablón ustedes pongan huevo y corazón."
"ferro carril oeste";"la banda 100 caballito";"me gustan las putas y los estimulantes";"soy de caballito vago y atorrante me gustan las putas y los estimulantes xq tengo huevos voy a todos lados voy de la cabeza todo descontrolado vamo' a volver (4x) a pesar de todo vamo' a volveeeer!!"
"ferro carril oeste";"la banda 100 caballito";"no lo traten de entender no van a poder";"esta es la banda de ferro carril oeste la que no abandona la que alienta siempre nos comimos dos descensos nadie lo comprende porque a tu lado estaremos siempre no lo traten de entender no van a poder se van a querer matar este año vamos a volver le pido a todos los jugadores que dejen la vida por los colores"
"ferro carril oeste";"la banda 100 caballito";"porque me encanta seguir sufriendo";"voy a tomar alcohol y un porro para festejar porque ferro se va de la b porque no volvemos nunca más porque me encanta seguir sufriendo porque me encanta seguir sufriendo esta enfermedad preparate liniers que ya nos vamo' a ver y al puto calamar no lo pude encontrar el verde va a subir y el fortín cueste lo que cueste vamo' a quemar... porque el verdolaga es una pasión que se lleva adentro en el corazón no importa donde juegues siempre voy con vos esta es tu hinchada que te viene a ver la que en todas las canchas siempre va a alentar mostrando la locura de este carnaval la banda esta cantando para vos la banda esta cantando para vos..."
"ferro carril oeste";"la banda 100 caballito";"soy de caballito vago y atorrante";"soy de caballito vago y atorrante me gustan las putas y los estimulantes porque tengo huevo voy a todos lados voy de la cabeza todo descontrolado vamo a volver vamo a volver vamo a volver vamo a volver a pesar de todo vamo a volver "
"ferro carril oeste";"la banda 100 caballito";"soy de oeste vago y atorrante";"soy de oeste vago y atorrante  verdolaga te sigo a todas partes... este año para salir primero este año hay que poner más huevos... yo no soy de villa luro ni tampoco soy quemero yo no soy como esos putos de saavedraa y de boedo! siempre te voy alentar en las buenas y en las malas  siempre voy de la cabeza y fuamando marihuana... dale dale oe... dale dale oe..."
"ferro carril oeste";"la banda 100 caballito";"verde vos sos mi vida";"verde vos sos mi vida sos lo mas grande de la argentina donde vayas yo voy a ir desde el cielo cuando me muera te voy a seguir como puedo yo amarte asi? ferro te quierooo! huevo y corazón ferro sos mi locura y pasión aunque no seas campeón esta banda aguanta en el tablón"
