"Club";"Barra";"Titulo";"Letra"
"velez sarsfield";"la pandilla de liniers";"todos los momentos que vivi";"todos los momentos que vivi todas las canchas donde te segui cada campeonato que ganamos la copa que levantamos cuando fuimos al morumbi velez sos mi alegria vos sos el campeon yo te llevo en el alma te llevo en el corazooon"
"velez sarsfield";"la pandilla de liniers";"velez es una cosa de locos";"soy de velez vago y atorrante y lo sigo a velez a todas partes vamos a salir campeón de nuevo para que llore boedo que es eso de andar dejando tantos culos rotos velez es una cosa de locos"
"velez sarsfield";"la pandilla de liniers";"velez se metio adentro de mi corazon";"velez se metio adentro de mi corazon y nunca mas salio no somos como el ciclon ni la muerte podra separarme de esta pasion no se como explicar que solo vivo para vos vamos fortinero que tenemos que ganar la banda esta re loca la vuelta quiere dar"
"velez sarsfield";"la pandilla de liniers";"velez se metio adentro de mi corazon y nunca mas salio";"velez se metio adentro de mi corazon y nunca mas salio no somos como el ciclon ni la muerte podra separarme de esta pasion no se como explicar que solo vivo para vos vamos fortinero que tenemos que ganar la banda esta re loca la vuelta quiere dar!"
"velez sarsfield";"la pandilla de liniers";"velez te llevo en el alma";"vamo vamo vamo velez y vamo velez vamo a ganar somos la banda mas loca y el campeonato quiero ganar velez te llevo en el alma y cada dia te quiero mas"
"velez sarsfield";"la pandilla de liniers";"vos sabes";"vos sabes cuanto yo te quiero cuanto yo te aliento no si vos sabes  vos sabes que aunque ganes o pierdas a mi no me importa una mierda siempre voy a estar con vos en las buenas voy a estar en las malas mucho mas siempre voy a alentarte te sigo a todas partes el amor que siento por velez no se puede comparar es mucho mas que todo no si vos sabes"
"velez sarsfield";"la pandilla de liniers";"y el fortin poniendo huevo";"dale dale velez que vamos a salir campeon de nuevo la banda sigue alentando y el fortin poniendo huevos"
"velez sarsfield";"la pandilla de liniers";"y se va san lorenzo se va";"llega el domingo te vengo a alentar a velez cada día yo lo quiero mas te llevo en el alma dentro de la piel sera que estoy re loco yo soy de liniers  y se va san lorenzo se vaaaaaa como el globo se fue al nacional y se va como riber se vaaaaaaa  a donde juegue velez lo voy a ver si somos la pandilla de liniers donde va donde va voy con vos si vos sos la locura la pasión te juro me robaste el corazón daría todo por verte campeón."
"velez sarsfield";"la pandilla de liniers";"yo daria toda mi vida por este club";"oh dale ve oh dale ve  oh dale ve oh dale ve  y dale ve yo te sigo de pendejo a vos te vengo a ver  y dale ve sos el mas grande de todos lo sabes y lo se   la banda de liniers esta re loca  y que se mueran todos los de boca  los cuervos y también el gallinero  a los pibes fortineros que nos chupen bien los huevos  yo daría toda mi vida por este club  a la gilada y a los traidores le hago la cruz  será por eso que la banda esta reunida  contra la envidia y toda la policía"
"velez sarsfield";"la pandilla de liniers";"yo fortin te seguire";"soy del barrio de liniers soy vago y atorrante yo te sigo a todas partes te llevo en el corazón no me importa lo que digan las demás hinchadas a mi no me importa nada yo te quiero ver campeón yooooooooo fortin te seguiré yooooooooo fortin te alentare para siempre."
"velez sarsfield";"la pandilla de liniers";"yo naci en el barrio de liniers";"yo naci en el barrio de liniers de pendejo yo te vengo a ver te llevamos en el corazon este año vamo a ser campeon  los de river son todos putos los de river son todos putos los de river son todos putos los de river son todos putos  (sirve contra cualquier equipo solo se cambia el nombre segun el rival de turno)"
"velez sarsfield";"la pandilla de liniers";"yo naci fortinero porque a velez lo quiero";"dale vé dale vélez dale vé dale vélez dale vé dale vélez dale vé dale vélez aunque ganes o pierdas no me importa una mierda  yo nací fortinero porque a vélez lo quiero. porque a vélez lo quiero…"
"velez sarsfield";"la pandilla de liniers";"yo no se lo que he tomado";"yo no se lo que tomado pero estoy descontrolado fortinero como siempre dejo todo y vengo a verte. esta locura no entiende de leyes y policías que no rompan las pelotas si por vos dejo la vida. esta es la banda loca de liniers la que te sigue siempre a donde juegue. la que lleva en el alma esta pasión se explica solamente con el corazón."
"velez sarsfield";"la pandilla de liniers";"yo soy de villa luro y tomo milonga";"dale vé  yo soy de villa luro y tomo milonga dale vé todos los de chicago me chupan la poronga quiero quemar el gallinero quemar el matadero y la vuelta dar quiero seguirte a todos lados siempre descontrolado de frente march porque esta banda loca quiere festejar che mataderos puto te vamo a matar dale vélez dale vélez dale vélez dale vélez dale vélez dale vélez dale vélez dale vélez dale vélez dale vé"
"velez sarsfield";"la pandilla de liniers";"yo te sigo a todos lados velez de mi vida";"señores yo soy de velez y vos sos mi alegría yo te sigo a todos lados velez de mi vida este año vamos a salir campeon de nuevo es para que llore boca y los putos de boedo  yooooo que te sigo siempre que te llevo adentro de mi corazon yooooo quiero el campeonato la libertadores volver a japon siiiii! la pandilla loca desde la tribuna te viene a alentar por una vuelta mas"
"velez sarsfield";"la pandilla de liniers";"yo voy a dejarlo todo por la v azulada";"la banda se empieza a juntar  para ver al fortinero  nadie la puede parar  nadie la puede correr  de pendejo yo te sigo  re loco descontrolado yo soy de la banda loca la de liniers  porque no me importa nada te sigo en las buenas te sigo en las malas yo voy a dejarlo todo  por la v azulada  siempre a todas partes porque vos sos mi alegría  con el fortinero voy a todos lados velez sarsfield de mi vida yo solo me quiero  morir a tu lado ohhhhh ohhhhhh morir a tu lado ohhhhhhh ohhhhhhhhhh"
"san lorenzo";"la gloriosa butteler";"aca esta la gloriosa san lorenzo querido";"acá esta la gloriosa banda de san lorenzo la que no tuvo cancha y se bancó el descenso a pesar de los años los momentos vividos siempre estare a tu lado san lorenzo querido san lorenzo querido"
"san lorenzo";"la gloriosa butteler";"al barrio que a san lorenzo lo vio nacer";"y dale alegria alegria a mi corazon la vuelta para boedo es mi obsecion tener una cancha como la del tablon y en av. la plata salir campeon vamos a volver al barrio que a san lorenzo lo vio nacer"
"san lorenzo";"la gloriosa butteler";"alentemos todos juntos";"alentemos todos juntos pa' que pongan huevo nuestros jugadores... que los partidos se ganan dentro de la cancha y aca en los tablones que griten los cuervos si quieren salir campeones..."
"san lorenzo";"la gloriosa butteler";"ay che quemero vos sos un rastrero";"ay che quemero vos sos un rastrero vos sos un cobarde vos sos vigilante en el bajo flores vos tirastes tiros y del cagaso mataste un amigo sos cagon sos cagon che quemero sos cagon sos cagon sos cagon che quemero sos cagon"
"san lorenzo";"la gloriosa butteler";"ay que loco que estoy";"vamos san lorenzo ciclón ponga huevos quiero la vuelta para el barrio de boedo vamos san lorenzo vamos matadores doy lo que sea por otra libertadores"
"san lorenzo";"la gloriosa butteler";"bostero hijo de puta te saluda tu papa";"hola que tal boca como te vá? hola qe tal boca como te vá? hola que tal boca como te vá? bostero hijo de puta te saluda tu papá"
"san lorenzo";"la gloriosa butteler";"bostero no lo pienses mas";"bostero bostero bostero bostero vos no pienses mas andate a vivir a bolivia toda tu familia esta aya que feo ser bostero y boliviano en una villa tienen que vivir la hermana revolea la cartera la vieja chupa pija por ahy"
"san lorenzo";"la gloriosa butteler";"bostero no chamuyes mas";"si en el bajo no llenas la popular. no importa en que cancha juges  a vos siempre te vengo a ver  dale dale sanloree  dale dale sanloree  la hincha quiere descontrol  la vida por salir campeon.. dale dale matador  dale dale matador."
"san lorenzo";"la gloriosa butteler";"buenas tardes bostero";"buenas tardes bostero hace tiempo te estaba esperando buenas tardes bostero tu papá te está saludando  van pasando los años y la historia se repite siempre san lorenzo te coj* en la cancha y también con la gente  es la 12 la que alienta con parlantes ohoh la que un día en caballito se fue antes ohoh no me olvido el trapo negro que colgaste ay che bostero  vos no cambiaste seguis amargo y vigilate"
"san lorenzo";"la gloriosa butteler";"che quemero estas zarpado en rastrero";"che quemero estas zarpado en rastrero sos tan puto que saltaste la pared ya sabemos que naciste vigilante ya sabemos que aguante no tenes y tambien se que las patas no te dan para correr cuando ves que se acerca la gloriosa butteler"
"san lorenzo";"la gloriosa butteler";"como esta banda no existe otra igual";"como esta banda no existe otra igual y no me importa en que cancha jugues adonde vayas yo te voy a alentar es la gloriosa la plaza butteler la que siempre juega de local soy de boedo soy de un barrio muy descontrolado a san lorenzo lo seguimos adonde vaya a jugar"
"san lorenzo";"la gloriosa butteler";"con esta camiseta hay que ir para adelante";"y dale dale matador dale matador que la gloriosa esta de fiesta ya llego vino alentarte sin parar esta re loca por la vuelta quiere festejar por eso les pedimos que pongan mas huevos así este campeonato se queda en boedo con esta camiseta hay que ir para adelante nosotros en la tribuna vamo a acompañarte"
"san lorenzo";"la gloriosa butteler";"corazon mentiroso";"los domingos se me llenan de alegría porque espero ansioso el día para alentar al ciclón.  muchos dicen que vivo de la cabeza pero a mi no me interesa te llevo en el corazón  matador hoy tenemos que ganar matador yo solo te pido otra vuelta..  san lorenzo dale dale san lorenzo hoy te vengo alentar ponga mas huevo san lorenzo dale dale san lorenzo que vamos a volver para boedo."
"san lorenzo";"la gloriosa butteler";"cuantas cosas que deje por verte";"de boedo a cualquier lugar  donde vayas a jugar voy siguiendo tus colores cuervo no me importa nada mas  que volver a levantar la copa libertadores cuantas cosas que deje por verte  y hasta el día de mi muerte te juro que así va a ser  vamos san lorenzo vaya al frente  que alentando esta tu gente hoy no podemos perder...."
"san lorenzo";"la gloriosa butteler";"cuervo sos mi alegria";"cuervo sos mi alegria  mi locura vos sos mi vida  a boedo vamos a volver por la vuelta todo daria daria ciclon donde juegues yo voy a estar hasta la muerte hoy tenes que ganar que boedo es un carnaval aca esta la mas fiel la gloriosa plaza butteler..."
"san lorenzo";"la gloriosa butteler";"cuervo mi buen amigo";"cuervo mi buen amigo esta campaña volveremo' a estar contigo.  te alentaremos de corazón esta es tu hinchada que te quiere ver campeón.  no me importa lo que digan los de boca y huracán yo te sigo a todas partes cada vez te quiero mas."
"san lorenzo";"la gloriosa butteler";"dale dale dale dale san lore";"dale dale dale dale san lorenzo dale dale dale dale san lore"
"san lorenzo";"la gloriosa butteler";"de boedo vengo hay que pedo tengo a la cancha voy";"de boedo vengooooo ay que pedo tengooo a la cancha voooy a ver al cicloon  laralaralala borracho laralaralala borracho laralaralala borracho pero del cicloon!"
"san lorenzo";"la gloriosa butteler";"desde que naci junto al ciclon";"yo llevo una vida a tu lado siguiéndote desde que nací junto al ciclon se que no hay distancia que nos pueda separar vayas donde vayas voy con vos ciclon vos sos mi locura no puedo parar y cada domingo me enamoro mas por estos colores doy la vida entera oh vamos san lorenzo vamos a ganar este año la vuelta queremos dar para que boedo vuelva a estar de fiesta san lorenzo es inexplicable todo lo que siento estaré contigo en todo momento porque a la azulgrana yo la llevo adentro pongan huevo y vayan al frente para ser primero esta es la gloriosa banda de boedo es la que escuchan en el mundo entero"
"san lorenzo";"la gloriosa butteler";"despacito";"ciclón vos sos mi locura no puedo parar y cada domingo me enamoro más por estos colores doy la vida entera  oh vamos san lorenzo vamos a ganar este año la vuelta queremos dar para que boedo vuelva a estar de fiesta  san lorenzo es inexplicable todo lo que siento estaré contigo en todo momento  porque a la azulgrana yo la llevo adentro  pongan huevo y vallan al frente para ser primeros  estas es la gloriosa banda de boedo  es la que escuchan en el mundo entero  yo llevo una vida a tu lado siguiendo te desde que nací junto al ciclón  se que no hay distancia que nos pueda separar vallas donde vallas voy con vos"
"san lorenzo";"la gloriosa butteler";"dicen que boca es un sentimiento";"dicen que boca es un sentimiento un sentimiento a mierda que ni te cuento dicen que ser de boca se lleva adentro adentro llevan la pija de san lorenzo son hijos nuestros son hijos nuestros"
"san lorenzo";"la gloriosa butteler";"dicen que estamos todos de la cabeza";"dicen que estamos todos de la cabeza pero a san lorenzo no le interesa tomamos vino puro de damajuana y nos fumamos toda la marihuana hooo san lorenzooo!! hooo san lorenzooo!!!"
"san lorenzo";"la gloriosa butteler";"donde estes ciclon yo voy a estar contigo";"y dale  y dale dale san lorenzo eterno es este sentimiento que llevo en el corazón que llevo bien adentro desde pendejo.. aunque ganes o pierdas yo te sigo donde estés ciclón yo voy a estar contigo para ser campeón de nuevo ponga huevo que hoy hay que ganar para salir primero y delire boedo.."
"san lorenzo";"la gloriosa butteler";"en boedo hay una banda que te sigue y siempre aguanta";"en boedo hay una banda que te sigue y siempre aguanta no me importan los quemeros la policía y los bosteros y san loren hoy te vinimos a ver hoy no podes perder te vamos a alentar la banda del ciclón quiere salir campeón la vuelta quiere dar..."
"san lorenzo";"la gloriosa butteler";"en el barrio de boedo hay carnaval";"en el barrio de boedo hay carnaval yo te sigo a donde vallas a jugar la gloriosa se hizo grande de verdad se hizo grande sin custodia policial se fua a la b volvio a la a yo a vos te sigo a donde vas la banda esta nunca se fue es la gloriosa butteler"
"san lorenzo";"la gloriosa butteler";"en el barrio de boedo hay una banda";"en el barrio de boedo hay una banda el aguante es lo primero que aprendi ya de guacho te vas haciendo picante es el barrio mas hermoso para mi y ahora estoy delirado por el faso y el alcohol soy campeon yo me quedo con la banda del ciclon"
"san lorenzo";"la gloriosa butteler";"en plaza constitucion";"en plaza constitucion  hay un negro con grabador  si usted lo mira muy bien  se peina como gardel  es un hincha de boca q esta esperando el ultimo tren"
"san lorenzo";"la gloriosa butteler";"es la banda del ciclon la que suena diferente";"san lorenzo voy con vos san lorenzo voy a verte yo te voy a acompañar y alentarte hasta la muerte es la banda del ciclón la que suena diferente la que copian los demás es la envidia de la gente"
"san lorenzo";"la gloriosa butteler";"esa es tu banda descontrolada";"esa es tu banda descontrolada san lore san lore san lore... siempre te alentó nunca pidió nada san lore san lore san lore... la que está re loca por esa copa para que nos chupen bien las pelotas river y boca! vamos a volver a salir campeones san lore san lore san lore... vamos a ganar la libertadores san lore san lore san lore... va volver la fiesta para boedo y va haber velorio en el gallinero el gallinero!"
"san lorenzo";"la gloriosa butteler";"esta banda que esta descontrolada no te deja de alentar";"vamooo ciclon vamooo a ganar la butteler te vaa alentaar vamooo azulgrana te vengo a ver hoyy noooo podes perder  soy del barrio de boedoo yo soy de san lorenzoo lo sigo de pendejooo por que es un sentimientoo  y esta banda que esta descontrolada no te deja de alentaaaaar"
"san lorenzo";"la gloriosa butteler";"este sentimiento es verdadero ciclon te amo";"ponga huevo san lorenzo vamos vaya al frente  que acá esta tu hinchada que acá esta esta tu gente  porque ser de san lorenzo es muy diferente  este sentimiento nadie lo comprende. que no tiene explicación eso es verdad  cada vez te quiero mas y siempre yo voy a estar presente  este sentimiento es verdadero  ciclón te amo sin vos me muero."
"san lorenzo";"la gloriosa butteler";"eterno es este sentimiento";"eterno es este sentimiento que llevo en el corazón que llevo bien adentro desde pendejo aunque ganes o pierdas yo te sigo donde estes ciclón yo voy a estar contigo para ser campeon de nuevo ponga huevo que hoy hay que ganar para salir primero y que delire boedo.."
"san lorenzo";"la gloriosa butteler";"fumando porro y tomando cocahina";"llego la banda de huracan  mirenlos que pocos son  que vienen en fiat 600  y en un ciclomotor  la justicia los condena  esto no se aguanta mas  san lorenzo pierde un hijo  y la patria potestad  se fue a la ""b""  se fue al descenso  hay por favor un minuto de silencio  te quiero asi que hinchada fina  fumando porro y tomando cocahina"
"san lorenzo";"la gloriosa butteler";"globo boton";"me dicen el matador nací en boedo y todo parque patricios me chupa un huevo  cada vez te falta menos al bajo vas a venir cada vez te falta menos para morir.  globo botón globo botón globo botón globo botón."
"san lorenzo";"la gloriosa butteler";"hoy san lorenzo hay que ganar";"hoy san lorenzo hay que ganar no podemos perder no te deja de alentar la gloriosa butteler voy a la cancha descontrolado ganes o pierdas a todos lados yo dejo todo mi corazon solo te pido salir campeon"
"san lorenzo";"la gloriosa butteler";"huracan hay ya no me extranes tanto";"yo nací en el barrio del ciclón  se llama boedo es descontrol  porque todo el año es carnaval  porque el sentimiento es de verdad. es que no lo pueden entender  boca la academia y river plate  donde juegue boedo es local  como la gloriosa no hay igual. las demás hinchadas nunca lo comprenderán. huracán ai ya no me extrañes tanto  que papá te va a seguir esperando. nunca más vas a volver a primera  por cagón y porque grande te queda."
"san lorenzo";"la gloriosa butteler";"la copa libertadores es mi obsesion";"y dale alegria alegria a mi corazon la copa libertadores es mi obsesion tenes que dejarlo todo por el ciclon tenes que poner mas huevo pa ser campeon ya vaaaaaan a ver... nosotro no somo boca ni river plate"
"san lorenzo";"la gloriosa butteler";"la gloriosa va a copar donde jugues";"vamos ciclón de la cuna te llevo dentro de mi corazón.  sos mi razón nada tiene sentido si un día no estás vos.  por eso te sigo en las buenas y en las malas ganes o pierdas a mí no me importa nada porque a pesar de todo lo que hemos pasado mi san lorenzo querido siempre esteré a tu lado.  hay una cosa que nunca van a entender que la gloriosa va a copar donde jugues esta es tu gente que se bancó el descenso la que impidió que se vendiera san lorenzo.  pero hay un sueño que aun me queda por lograr ya falta menos y nadie me puede parar yo te prometo que muy pronto volveremos a levantar los escalones en boedo."
"san lorenzo";"la gloriosa butteler";"la hinchada quiere descontrol";"no importa en que cancha jugues a vos siempre te vengo a ver dale dalee san loreee dale dalee san loreee la hinchada quiere descontrol da la vida por salir campeon dale dale matadoooor dale dale matador quemero vos te queres matar boedo todo el año es carnaval bostero vos no chamuyes mas en el bajo no llenas la popular"
"san lorenzo";"la gloriosa butteler";"llego la banda de huracan fiat 600";"llego la banda de huracan mirenlos que pocos son que vienen en fiat 600 y en un ciclomotor la justicia los condena esto no se aguanta mas san lorenzo pierde un hijo y la patria potestad se fue a la ""b"" se fue al descenso hay por favor un minuto de silencio te quiero asi que hinchada fina fumando porro y tomando cocahina"
"san lorenzo";"la gloriosa butteler";"los invitamos a venir al barrio de boedo";"vayas donde vayas siempre va con vos tu hinchada  la que lleva en la sangre esta enfermedad azulgrana  ya lo demostramos siempre vamo a todas partes  sabes que te quiero y nunca paro de alentarte  pero sabemos que ahora están todos llorando los chamuyos se acabaron san lorenzo ya volvio  y ahora se quieren morir los invitamo' a venir... al barrio de boedo si le dan los huevos a todos los quemeros las gallina y los bosteros  hasta que me muera yo te vengo a ver esta es la gloriosa de la plaza butteler"
"san lorenzo";"la gloriosa butteler";"me dicen el matador naci en boedo";"me dicen el matador nací en boedo... es una barrio de borrachos y faloperos.. llega el domingo a la tarde voy a la cancha a ver al ciclón en cancha nueva yo te quiero ver campeón  dale matador dale matador..... dale matador dale matador  me dicen el matador nací en boedo... es una barrio de borrachos y faloperos.. llega el domingo a la tarde voy a la cancha a ver al ciclón en cancha nueva yo te quiero ver campeón  dale matador dale matador..... dale matador dale matador"
"san lorenzo";"la gloriosa butteler";"me lo digo una gitana me lo dijo con fervor";"una gitana hermosa tiró las cartas me dijo que san lorenzo va a ser campeón ya lo corrimo' al globo y no pasó nada vamo' a correr a boca que es un cagón me lo digo una gitana me lo dijo con fervor o largas la marihuana o te vas para el cajón me lo dijo una gitana y no le quise creer  yo le sigo dando al vino a los fasos y al papel"
"san lorenzo";"la gloriosa butteler";"mi san lorenzo querido siempre estere a tu lado";"vamos ciclón  de la cuna te llevo  dentro de mi corazón.  sos mi razón  nada tiene sentido  si un día no estás vos.  por eso te sigo en las buenas y en las malas  ganes o pierdas a mí no me importa nada  porque a pesar de todo lo que hemos pasado  mi san lorenzo querido siempre esteré a tu lado. hay una cosa que nunca van a entender  que la gloriosa va a copar donde jugues  esta es tu gente que se bancó el descenso  la que impidió que se vendiera san lorenzo.  pero hay un sueño que aun me queda por lograr  ya falta menos y nadie me puede parar  yo te prometo que muy pronto volveremos  a levantar los escalones en boedo"
"san lorenzo";"la gloriosa butteler";"mirala que linda viene";"mirala que linda viene mirala que linda va es la banda de boedo que al ciclón viene a alentar. no me importa donde juegues siempre te voy a seguir yo lo quiero a san lorenzo y por él voy a morir."
"san lorenzo";"la gloriosa butteler";"nada tiene sentido si un dia no estoy con vos";"vamos ciclón de la cuna te llevo . . . dentro de mi corazón sos mi razón nada tiene sentido si un día no estoy con vos."
"san lorenzo";"la gloriosa butteler";"nos bancamos el descenso hicimos la cancha nueva";"pasaron 100 años que late este sentimiento quisieron privatizarte pero yo a vos no te vendo nos siguen diciendo que estamos de la cabeza nos bancamos el descenso hicimos la cancha nueva yo quiero la banda en fiesta y en pedo sabemos que vamo' a volver a boedo a tanta locura no hay explicacion si yo de pendejo que estoy junto a vos tanto sentimiento tanto carnaval nos hizo gloriosa por la eternidad"
"san lorenzo";"la gloriosa butteler";"nos dicen enfermos que le voy a hacer";"vamos san lorenzo que hoy hay que ganar como todos los años te vengo a alentar nos dicen enfermos que le voy a hacer mi único remedio es volverte a ver"
"san lorenzo";"la gloriosa butteler";"nos fuimos al descenso nos vendieron la cancha";"nos fuimos al descenso nos vendieron la cancha lo que nunca pudieron fue parar esta hinchada que se hizo gloriosa en las buena' y las malas la que lleva en la sangre la pasión azulgrana la pasión azulgrana....."
"san lorenzo";"la gloriosa butteler";"nunca me voy a separar de vos porque te quiero";"san lorenzo sos mi única razón vos sos la locura de mi corazón san lorenzo sentimiento de verdad que nunca nadie lo comprenderá porque te sigo en las buenas y las malas porque llevo la pasión azulgrana siempre voy a estar nunca te voy a dejaaar vamos san lorenzo te voy a alentar la vida entera y desde el cielo te voy a seguir cuando me muera nunca me voy a separar de vos porque te quiero y te juro que no voy a parar hasta volver a boedo hay que dejar la vida y el corazón hay que poner huevo para ser campeón dale matador que hoy tenemos que ganar."
"san lorenzo";"la gloriosa butteler";"nunca te voy a dejar";"nunca te voy a dejar... vamos san lorenzo te voy a alentar la vida entera y desde el cielo te voy a seguir cuando me muera nunca me voy a separar de vos porque te quiero y te juro que no voy a parar hasta volver a boedo hay que dejar la vida y el corazon ahy que poner huevo para ser campeon dale matador que hoy tenemos que ganar.. san lorenzo sos mi unica razon vos sos la locura de mi corazon san lorenzo es sentimiento de verdad que nunca nadie lo copmrendera porque te sigo en las buenas y en las malas porque llevo la pasion azulgrana siempre voy a estar.."
"san lorenzo";"la gloriosa butteler";"pasaron 100 anos que late este sentimiento";"pasaron 100 años que late este sentimiento quisieron privatizarte pero yo a vos no te vendo nos siguen diciendo que estamos de la cabeza nos bancamos el descenso hicimos la cancha nueva yo quiero la banda en fiesta y en pedo sabemos que vamo' a volver a boedo a tanta locura no hay explicacion si yo de pendejo que estoy junto a vos tanto sentimiento tanto carnaval nos hizo gloriosa por la eternidad"
"san lorenzo";"la gloriosa butteler";"por estos colores doy la vida entera";"yo llevo una vida a tu lado siguiéndote desde que nací junto al ciclon se que no hay distancia que nos pueda separar vayas donde vayas voy con vos ciclon vos sos mi locura no puedo parar y cada domingo me enamoro mas por estos colores doy la vida entera oh vamos san lorenzo vamos a ganar este año la vuelta queremos dar para que boedo vuelva a estar de fiesta san lorenzo es inexplicable todo lo que siento estaré contigo en todo momento porque a la azulgrana yo la llevo adentro pongan huevo y vayan al frente para ser primero esta es la gloriosa banda de boedo es la que escuchan en el mundo entero"
"san lorenzo";"la gloriosa butteler";"que alegria que alegria";"que alegria que alegria ole ole ole ola que la vuelta a boedo juntos la vamo a dar la cancha de cemento yo la aprendi a querer pero a la de madera nunca la olvidaree aunque juegue en el bajo llevo en el corazon al barrio de boedo donde nacio el ciclon"
"san lorenzo";"la gloriosa butteler";"que griten los cuervos si quieren salir campeones";"alentemos todos juntos pa que pongan huevo nuestros jugadores  que los partidos se ganan dentro de la cancha y acá en los tablones. que griten los cuervos si quieren salir campeones que griten los cuervos si quieren salir campeones."
"san lorenzo";"la gloriosa butteler";"que loca esta la hinchada cuando va a ver a boedo";"que loca esta la hinchadaaa cuando va a ver a boedoooo a ver a san lorenzoo lo quiere ver ganaar que loca esta la hinchadaa cuando va a ver a boedoo se toma todo el vino se lo toma todo y no queda maaas"
"san lorenzo";"la gloriosa butteler";"que te pasa quemero todavia seguis esperando";"que te pasa quemero todavia seguis esperando que te pasa quemero que en la quema estan todos llorando  van pasando los años jugadores tambien dirigentes pero no se dan cuenta que el problema lo tiene tu gente  que no alienta cuando el globo va perdiendo ohhh que no estaba cuando te fuiste al descenso ohhh  que no aguanta cuando ve a san lorenzo  yo se que duele yo se que es feo  pero a tu hinchada le faltan huevos"
"san lorenzo";"la gloriosa butteler";"river yo no lo niego";"river vos sos gallina  vas a la cancha cuando ganan y de local. hoy san lorenzo te va a contar  las sensaciones que el fútbol te puede dar  alegrías y tristezas de vivir una pasión  esa que el hincha de river no lleva en el corazón.  por eso quiero explicarte  que lo importante del fútbol es la pasión  si sólo sirve salir campeón  sería lo mismo verlo por televisión. mientras le pones butacas a toda la popular  la fiesta de san lorenzo nunca la vas a igualar.  somos tan diferentes  vos sos platea y nosotros popular. hasta en la gente podes notar  que no es la misma la manera de pensar  esta hinchada hizo la cancha y jamás olvidará  que la tuya te la hizo el gobierno militar."
"san lorenzo";"la gloriosa butteler";"san lorenzo sos mi unica razon";"san lorenzo sos mi única razón vos sos la locura de mi corazón san lorenzo sentimiento de verdad que nunca nadie lo comprenderá  porque te sigo en las buenas y las malas porque llevo la pasión azulgrana siempre voy a estar nunca te voy a dejaaar  vamos san lorenzo te voy a alentar la vida entera y desde el cielo te voy a seguir cuando me muera nunca me voy a separar de vos porque te quiero y te juro que no voy a parar hasta volver a boedo  hay que dejar la vida y el corazón hay que poner huevo para ser campeón dale matador que hoy tenemos que ganar."
"san lorenzo";"la gloriosa butteler";"san lorenzo te vinimos a ver porque tenemos aguante";"san lorenzo te vinimos a ver porque tenemos aguante no somos como los putos de huracan que son todos vigilantes yo a vos te sigo en las buenas y en las malas yo a vos te sigo adonde quieras que vayas por eso vengo del barrio de boedo a alentar a azulgrana"
"san lorenzo";"la gloriosa butteler";"san lorenzo vos sabes que siempre yo te vengo a ver";"ya hicimos 2 canchas vamo' a hacer 3 san lorenzo vos sabes que siempre yo te vengo a ver porque de pendejo vos sos mi vida un solo sueño te pedí y muero por jugar ahí ya no existe nada que me lo impoda vamo a volver vamo a volver al barrio que a san lorenzo lo vio nacer ya van a ver ya van a ver..."
"san lorenzo";"la gloriosa butteler";"si no estoy contigo ciclon no vivo";"san lorenzo te llevamos en el corazón no hay locura mas hermosa que ser del ciclón lo que siento no se puede explicar con palabras solo el sentimiento de alentarte hasta el cajón.  bancando cantando si sabes que siempre vamo' a estar como todos los años alentando descontrolado si juramos amarte seguirte y morir a tu lado.  si no estoy contigo ciclón no vivo voy a la cancha tomando vino quiero la copa la hinchada esta loca."
"san lorenzo";"la gloriosa butteler";"si sos de la paternal";"si sos de la paternal vos sos un homosexual si usted lo mira muy bien son putas de cabaret van buscando porongas porque a la noche se hacen cojer van buscando porongas porque a la noche se hacen cojer"
"san lorenzo";"la gloriosa butteler";"si yo fuera presidente la rosada seria un boliche";"si yo fuera presidente   la rosada seria un boliche  y en la puerta un gran afiche invitando al tomador  sin mozo ni mostrador todo lleno de licores  y la barra de boedo empapada en alcoholes   y la barra de boedo empapada en alcoholes.  yo soy un curda de ley   yo tomo porque me gusta  el escabio no me asusta   ni le temo a la ebriedad  no me importa la variedad   me gusta beber a diario  el que inventó la ley seca  no fue un curda fue un otario  el que inventó la ley seca  no fue un curda fue un otario.  y ahora yo me abrazo   a mi amigo el botellón  para calmar la razón  no hay mejor que un buen moscato  si mi aliento te resulta extraño   yo al vino lo pinto en prosa  para mí que el paraíso está en san juan y mendoza  para mí que el paraíso está en san juan y mendoza"
"san lorenzo";"la gloriosa butteler";"somos de un barrio distinto";"vamo' azulgrana te seguimos en las buenas y en las malas ponga mas huevo que este año festejamos en boedo.  san lorenzo es la locura que tiene mi corazón este amor no tiene cura y lo llevo hasta el cajón.  somos de un barrio distinto donde hay fiesta y carnaval si alentamos todos juntos la vuelva vamos a dar."
"san lorenzo";"la gloriosa butteler";"somos la mejor hinchada del mundo entero";"en el barrio de boedo hay una banda que en las buenas y en las malas siempre te banca una banda que mata por tus colores y siempre deja la vida aca en los tablones somos san lorenzo somos de boedo somos la mejor hinchada del mundo entero la que todos copian pero no comprenden que esto es amor verdadero y esto se siente adentro de la cancha vamo a dejarlo todo que esta locura no tiene explicación ponga huevo azulgrana que esta gloriosa hinchada quiere dar otra vuelta salir campeoon..."
